상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
남촌닭갈비,2021-10-03,음식점,37.878885,127.727199,강원,춘천시,조양동,,414,55.14,44.86,13.01,20.79,23.62,20.77,21.81,2021-12-21
소담닭갈비,2021-10-03,음식점,37.806248,127.638031,강원,춘천시,남산면,방곡리,414,59.11,40.89,8.67,14.66,19.15,24.01,33.51,2021-12-21
춘천닭갈비 영농조합,2021-08-09,기타시설,37.873047,127.733364,강원,춘천시,효자동,,398,54.78,45.22,13.07,20.61,24.36,20.13,21.83,2021-12-21
W펜션강촌숯불닭갈비,2021-08-19,음식점,37.806642,127.637328,강원,춘천시,남산면,방곡리,397,46.16,53.84,8.58,14.42,19.65,23.43,33.92,2021-12-21
대청봉닭갈비,2021-11-12,음식점,37.879083,127.727186,강원,춘천시,조양동,,392,50.72,49.28,16.4,21.29,19.83,20.77,21.71,2021-12-21
광수네닭갈비,2021-10-22,음식점,37.861635,127.726535,강원,춘천시,퇴계동,,389,25.26,74.74,15.28,19.45,23.18,20.88,21.21,2021-12-21
가라매기닭갈비,2021-07-24,음식점,37.898529,127.728639,강원,춘천시,우두동,,388,54.2,45.8,13.94,20.72,21.23,21.78,22.33,2021-12-21
상오네숯불닭갈비,2021-10-12,음식점,37.866176,127.751344,강원,춘천시,석사동,,388,54.25,45.75,15.41,21.19,19.15,22.38,21.87,2021-12-21
구명동닭갈비,2021-11-01,음식점,37.859494,127.7185,강원,춘천시,온의동,,386,58.36,41.64,12.14,19.67,23.02,24.23,20.94,2021-12-21
인생닭갈비,2021-08-24,음식점,37.821894,127.590017,강원,춘천시,남산면,백양리,382,53.66,46.34,9.72,15.5,20.59,24.82,29.37,2021-12-21
명동본가 철판-숯불닭갈비,2021-08-25,음식점,37.879131,127.727285,강원,춘천시,조양동,,376,53.45,46.55,13.2,20.74,24.49,19.61,21.96,2021-12-21
스카이닭갈비,2021-08-25,음식점,37.841203,127.551449,강원,춘천시,남산면,서천리,376,56.07,43.93,9.3,15.14,20.37,24.15,31.04,2021-12-21
유미닭갈비,2021-08-25,음식점,37.879185,127.727441,강원,춘천시,조양동,,376,54.27,45.73,12.94,20.48,24.26,20.62,21.7,2021-12-21
춘천본가 숯불닭갈비,2021-08-25,음식점,37.879002,127.727334,강원,춘천시,조양동,,376,54.93,45.07,13.36,20.9,24.68,18.94,22.12,2021-12-21
춘천중앙닭갈비,2021-08-25,음식점,37.879053,127.727473,강원,춘천시,조양동,,376,53.72,46.28,13.14,20.68,24.44,19.84,21.9,2021-12-21
유미닭갈비막국수,2021-11-07,음식점,37.87918,127.72745,강원,춘천시,조양동,,373,53.4,46.6,13.57,21.15,22.16,22.6,20.52,2021-12-21
등선집 닭갈비 막국수,2021-07-25,음식점,37.825536,127.659341,강원,춘천시,서면,덕두원리,370,57.28,42.72,10.11,14.43,18.03,23.21,34.22,2021-12-21
한s 닭갈비유통,2021-09-05,기타시설,37.866665,127.731875,강원,춘천시,효자동,,369,41.2,58.8,12.46,20.2,23.01,23.07,21.26,2021-12-21
우성닭갈비본점택배사업부,2021-08-04,기타시설,37.851707,127.754079,강원,춘천시,동내면,거두리,367,46.07,53.93,16.38,18.97,20.31,21.55,22.79,2021-12-21
가미닭갈비,2021-09-07,음식점,37.859611,127.739492,강원,춘천시,석사동,,366,54.64,45.36,15.86,21.67,19.71,20.47,22.29,2021-12-21
닭파라 춘천닭갈비,2021-09-29,음식점,37.875458,127.718284,강원,춘천시,소양로4가,,358,52.18,47.82,18.86,21.47,18.76,19.89,21.02,2021-12-21
상호네돼지갈비닭갈비,2021-10-07,음식점,37.874821,127.717515,강원,춘천시,근화동,,342,58.2,41.8,10.18,18.36,30.39,30.82,10.25,2021-12-21
광수닭갈비,2021-10-09,음식점,37.894289,127.754451,강원,춘천시,동면,장학리,339,57.06,42.94,16.67,15.5,22.58,25.23,20.02,2021-12-21
고려남촌닭갈비,2021-10-10,음식점,37.878912,127.727313,강원,춘천시,조양동,,333,56.84,43.16,13.04,20.81,23.66,20.66,21.83,2021-12-21
또또춘천닭갈비,2021-10-15,음식점,37.872979,127.719245,강원,춘천시,근화동,,333,55.47,44.53,10.17,18.35,30.43,30.85,10.2,2021-12-21
초빈닭갈비,2021-10-19,음식점,37.866309,127.75251,강원,춘천시,석사동,,333,55.27,44.73,15.9,21.68,19.64,20.44,22.34,2021-12-21
맛있는닭갈비,2021-10-29,음식점,37.894493,127.756381,강원,춘천시,동면,장학리,331,50.84,49.16,17.26,15.94,23.68,22.49,20.63,2021-12-21
칠점오(7.5)닭갈비,2021-10-27,음식점,37.866284,127.752763,강원,춘천시,석사동,,326,56.73,43.27,15.2,20.98,18.94,23.22,21.66,2021-12-21
황소닭갈비본점,2021-11-02,음식점,37.856565,127.719932,강원,춘천시,온의동,,326,54.1,45.9,13.31,20.84,24.18,19.56,22.11,2021-12-21
장수닭갈비,2021-11-05,음식점,37.85906,127.718221,강원,춘천시,온의동,,321,53.72,46.28,12.42,19.95,23.3,23.11,21.22,2021-12-21
원조 남촌닭갈비,2021-11-03,음식점,37.878913,127.727198,강원,춘천시,조양동,,319,55.7,44.3,13.17,20.75,22.42,22.73,20.93,2021-12-21
LDH맥반석문어숯불닭갈비,2021-08-19,음식점,37.808495,127.635664,강원,춘천시,남산면,강촌리,318,55.37,44.63,9.02,14.86,20.09,23.87,32.16,2021-12-21
강촌 우미 닭갈비,2021-08-19,음식점,37.805258,127.637177,강원,춘천시,남산면,방곡리,318,45.41,54.59,8.86,14.69,19.92,23.7,32.83,2021-12-21
춘자네닭갈비,2021-08-19,음식점,37.843076,127.546873,강원,춘천시,남산면,서천리,318,36.1,63.9,9.57,15.35,20.44,24.67,29.97,2021-12-21
거두리닭갈비,2021-09-06,음식점,37.857615,127.758496,강원,춘천시,동내면,거두리,315,51.59,48.41,13.25,18.77,23.19,23.75,21.04,2021-12-21
본가호반닭갈비·막국수,2021-07-23,음식점,37.852438,127.752192,강원,춘천시,동내면,거두리,313,48.42,51.58,13.82,19.31,21.49,22.45,22.93,2021-12-21
부흥닭갈비,2021-08-20,음식점,37.873916,127.743291,강원,춘천시,효자동,,312,44.86,55.14,12.98,20.52,24.3,20.46,21.74,2021-12-21
호남식당원조1호닭갈비막국수,2021-08-13,음식점,37.885686,127.718156,강원,춘천시,근화동,,312,53.25,46.75,11.82,19.63,29.1,12.87,26.58,2021-12-21
감미닭갈비,2021-07-21,음식점,37.856293,127.743635,강원,춘천시,석사동,,311,55.35,44.65,15.36,21.06,19.16,22.62,21.8,2021-12-21
